College,Branch,Exam,Year,Tuition_Fee,Hostel_Fee,Misc_Fee,OneTime_Fee,Total_First_Year,Total_Annual,Scholarship_Eligible
MSRIT,Data Science,KCET,2024,83266,73187,19668,14494,190615,176121,Yes
JNNCE,Civil Engineering,KCET,2023,78782,62195,8997,17400,167374,149974,No
VIT,Aerospace Engineering,KCET,2023,51416,69564,16191,25680,162851,137171,No
DSATM,Artificial Intelligence and Data Science,COMEDK,2024,249940,71924,16823,14476,353163,338687,No
NMIT,Chemical Engineering,COMEDK,2024,198276,94114,17485,26706,336581,309875,Yes
PESU,Information Science and Engineering,COMEDK,2023,198843,87893,11605,12246,310587,298341,No
JNNCE,Chemical Engineering,KCET,2023,62592,69745,9534,15216,157087,141871,No
RVCE,Electronics and Communication Engineering,COMEDK,2024,246775,77974,18985,10556,354290,343734,Yes
BITM,Biotechnology,KCET,2024,82850,64329,11739,17162,176080,158918,Yes
MVJCE,Computer Science and Engineering,KCET,2023,76386,67467,16007,13957,173817,159860,Yes
JIT,Civil Engineering,KCET,2024,61159,77898,9244,16791,165092,148301,No
SDMCET,Electronics and Communication Engineering,KCET,2023,65890,90744,13374,16289,186297,170008,Yes
VVCE,Mechanical Engineering,KCET,2024,82089,73473,10921,22614,189097,166483,No
DSCE,Aerospace Engineering,KCET,2024,80622,70536,12384,27466,191008,163542,Yes
JSSSTU,Mechanical Engineering,COMEDK,2023,196243,81530,16197,13418,307388,293970,No
MSRIT,Electrical and Electronics Engineering,KCET,2023,69282,69753,9245,23830,172110,148280,No
NIE,Electrical and Electronics Engineering,COMEDK,2023,165941,88907,14183,17435,286466,269031,No
SDMCET,Data Science,COMEDK,2024,204138,66687,14409,21178,306412,285234,No
MSRUAS,Information Science and Engineering,KCET,2024,77072,68499,11652,15055,172278,157223,No
PESU,Information Science and Engineering,COMEDK,2024,211645,84621,15647,19348,331261,311913,Yes
KLSGIT,Robotics and Automation Engineering,KCET,2024,60956,91851,9041,11273,173121,161848,Yes
ACU,Robotics and Automation Engineering,COMEDK,2024,210148,73873,17219,21214,322454,301240,Yes
SDMIT,Information Science and Engineering,COMEDK,2024,199710,83670,19459,27576,330415,302839,Yes
BMSCE,Chemical Engineering,KCET,2024,71399,72513,14057,23329,181298,157969,Yes
BNMIT,Electrical and Electronics Engineering,COMEDK,2023,241325,70728,11230,20389,343672,323283,No
DBIT,Robotics and Automation Engineering,KCET,2024,70832,65249,9688,23565,169334,145769,No
MSRIT,Chemical Engineering,KCET,2023,80319,93366,8179,20520,202384,181864,Yes
NMIT,Artificial Intelligence and Data Science,KCET,2023,55108,81006,12051,20018,168183,148165,Yes
UVCE,Data Science,COMEDK,2023,165361,68539,19562,24733,278195,253462,Yes
AECMandya,Artificial Intelligence and Data Science,KCET,2023,72018,83181,8297,26409,189905,163496,No
DBIT,Chemical Engineering,KCET,2023,60639,60993,17158,12426,151216,138790,Yes
AECMandya,Civil Engineering,COMEDK,2023,210747,84501,14044,21084,330376,309292,No
SIT,Electrical and Electronics Engineering,COMEDK,2023,236168,79118,9771,10951,336008,325057,No
BIT,Aerospace Engineering,KCET,2023,81032,69460,8603,17132,176227,159095,Yes
GIT,Biotechnology,KCET,2023,73897,64566,18747,21634,178844,157210,No
SJBCE,Civil Engineering,COMEDK,2023,208416,80999,19541,10518,319474,308956,No
DSCE,Chemical Engineering,KCET,2024,73761,86217,11613,18226,189817,171591,Yes
REVA,Biotechnology,COMEDK,2024,241131,68175,12347,16382,338035,321653,Yes
BNMIT,Electronics and Communication Engineering,KCET,2023,71778,91242,16838,24857,204715,179858,No
SCEM,Civil Engineering,COMEDK,2023,231472,73134,8094,12251,324951,312700,Yes
AECMandya,Biotechnology,KCET,2023,69112,89063,12764,10011,180950,170939,Yes
MSRIT,Biotechnology,KCET,2024,65293,76268,9011,24857,175429,150572,No
NCET,Information Science and Engineering,KCET,2024,66159,77733,12896,10296,167084,156788,Yes
NCET,Computer Science and Engineering,KCET,2024,51910,92577,17837,22156,184480,162324,No
CITGubbi,Electronics and Communication Engineering,COMEDK,2023,206346,60904,12157,26758,306165,279407,No
NMIT,Civil Engineering,KCET,2023,81001,85249,17599,24583,208432,183849,Yes
VVCE,Biotechnology,COMEDK,2023,194724,77209,18616,21668,312217,290549,Yes
HKBK,Aerospace Engineering,COMEDK,2023,235411,68339,12505,29495,345750,316255,No
SCEM,Artificial Intelligence and Data Science,COMEDK,2024,208972,86789,19197,17677,332635,314958,Yes
SIT,Information Science and Engineering,KCET,2023,65155,66177,11000,22580,164912,142332,Yes
NCET,Mechanical Engineering,KCET,2023,58932,61169,9299,20862,150262,129400,Yes
AITM,Biotechnology,KCET,2024,82384,71509,15047,28350,197290,168940,No
JSSSTU,Artificial Intelligence and Data Science,COMEDK,2023,230755,74875,17239,29766,352635,322869,Yes
DSATM,Computer Science and Engineering,COMEDK,2024,205923,91882,16688,27885,342378,314493,No
BNMIT,Electronics and Communication Engineering,COMEDK,2023,188949,78358,15829,21863,304999,283136,Yes
VIT,Chemical Engineering,KCET,2023,54452,71672,19262,11165,156551,145386,Yes
VSM,Computer Science and Engineering,KCET,2023,64103,85507,9677,25799,185086,159287,Yes
MSRUAS,Data Science,COMEDK,2024,222418,70194,17694,28765,339071,310306,No
KLSGIT,Mechanical Engineering,COMEDK,2023,235752,91644,14623,18360,360379,342019,Yes
KLEIT,Computer Science and Engineering,COMEDK,2023,211039,86291,17999,17534,332863,315329,Yes
VVCE,Chemical Engineering,KCET,2024,51739,68635,9421,28741,158536,129795,Yes
DrAIT,Mechanical Engineering,KCET,2024,62672,94904,8397,23901,189874,165973,No
SJBCE,Data Science,COMEDK,2024,192367,94465,12652,28024,327508,299484,Yes
SIT,Electrical and Electronics Engineering,KCET,2024,82409,66500,14407,14328,177644,163316,Yes
BMIT,Robotics and Automation Engineering,COMEDK,2024,179003,60915,10493,26049,276460,250411,No
YKCE,Electronics and Communication Engineering,COMEDK,2024,215158,93072,16704,16935,341869,324934,Yes
DSCE,Artificial Intelligence and Data Science,KCET,2024,63134,93340,15681,24804,196959,172155,Yes
DSCE,Information Science and Engineering,COMEDK,2024,190224,93177,13793,13565,310759,297194,No
DSATM,Mechanical Engineering,KCET,2023,78176,87566,15642,15956,197340,181384,Yes
DBIT,Civil Engineering,COMEDK,2024,188065,61231,13995,24136,287427,263291,Yes
AITM,Biotechnology,COMEDK,2023,218062,90255,11682,24602,344601,319999,Yes
VVIT,Computer Science and Engineering,KCET,2023,82823,93973,14033,23260,214089,190829,Yes
PESU,Data Science,KCET,2024,54451,83750,19380,20060,177641,157581,Yes
UVCE,Computer Science and Engineering,KCET,2023,70230,82706,12239,23013,188188,165175,No
VVCE,Robotics and Automation Engineering,KCET,2024,69990,87415,9663,18165,185233,167068,Yes
NHCE,Information Science and Engineering,COMEDK,2024,191684,90585,8188,29465,319922,290457,No
DrAIT,Chemical Engineering,KCET,2024,60786,77024,16323,17934,172067,154133,No
RNSIT,Artificial Intelligence and Data Science,COMEDK,2023,233121,64844,18232,10274,326471,316197,No
AITM,Electrical and Electronics Engineering,KCET,2023,75380,69402,9175,29618,183575,153957,No
RAIT,Mechanical Engineering,COMEDK,2024,164864,69476,13930,10508,258778,248270,No
MVJCE,Mechanical Engineering,COMEDK,2023,188852,60366,18076,20529,287823,267294,No
SJBCE,Biotechnology,KCET,2023,54184,80469,19004,14995,168652,153657,Yes
SIT,Civil Engineering,KCET,2023,61745,61050,16517,18726,158038,139312,Yes
RVCE,Electrical and Electronics Engineering,KCET,2023,70911,73337,18089,16415,178752,162337,No
BNMIT,Biotechnology,KCET,2024,58642,87937,19855,23134,189568,166434,Yes
DrAIT,Information Science and Engineering,COMEDK,2024,212924,87619,9866,26299,336708,310409,Yes
KLSGIT,Mechanical Engineering,COMEDK,2024,239173,89242,14591,23306,366312,343006,No
PRES,Chemical Engineering,COMEDK,2023,162796,74469,10574,13506,261345,247839,No
DSATM,Biotechnology,KCET,2023,78249,63009,18326,23563,183147,159584,No
JIT,Information Science and Engineering,KCET,2024,73615,76712,9752,17904,177983,160079,Yes
DBIT,Electrical and Electronics Engineering,KCET,2024,70242,64460,10660,13749,159111,145362,Yes
REVA,Civil Engineering,COMEDK,2024,214109,89982,11534,19700,335325,315625,Yes
DSATM,Data Science,KCET,2024,53994,81855,8568,29360,173777,144417,Yes
UVCE,Civil Engineering,KCET,2023,74485,91014,8033,28441,201973,173532,No
VIT,Biotechnology,KCET,2023,56036,75279,18895,20385,170595,150210,Yes
DSCE,Computer Science and Engineering,COMEDK,2024,168420,79333,16772,17552,282077,264525,No
UVCE,Civil Engineering,COMEDK,2023,168859,78545,11682,19870,278956,259086,Yes
EastPoint,Information Science and Engineering,COMEDK,2023,238897,73941,18257,16038,347133,331095,Yes
UVCE,Electronics and Communication Engineering,KCET,2024,82398,80936,9322,15794,188450,172656,No
BIT,Biotechnology,KCET,2023,76471,63917,16266,29178,185832,156654,No
AEC,Robotics and Automation Engineering,KCET,2024,72886,74744,11284,24748,183662,158914,No
AECMandya,Data Science,COMEDK,2024,170572,92572,12690,10346,286180,275834,No
BNMIT,Electrical and Electronics Engineering,KCET,2023,79389,61636,18139,18194,177358,159164,Yes
DBIT,Civil Engineering,COMEDK,2024,217849,93889,13379,24921,350038,325117,Yes
BIT,Mechanical Engineering,KCET,2024,71233,75182,10887,22372,179674,157302,No
SDMCET,Civil Engineering,KCET,2024,51303,82458,15328,27585,176674,149089,Yes
GMIT,Computer Science and Engineering,COMEDK,2023,179994,90748,16629,15760,303131,287371,No
BMIT,Mechanical Engineering,KCET,2023,69798,69188,13256,10920,163162,152242,Yes
NCET,Chemical Engineering,KCET,2023,55051,66401,17154,16772,155378,138606,Yes
BMSIT,Aerospace Engineering,KCET,2023,54051,91348,13911,17700,177010,159310,No
KLSGIT,Biotechnology,KCET,2023,65102,84640,13722,23911,187375,163464,Yes
REVA,Civil Engineering,COMEDK,2023,219745,84854,14069,16806,335474,318668,No
CMRIT,Electrical and Electronics Engineering,COMEDK,2023,178162,78644,17849,12833,287488,274655,No
AIT,Computer Science and Engineering,KCET,2024,62098,64661,9169,20713,156641,135928,Yes
EastPoint,Computer Science and Engineering,KCET,2024,53665,65375,10782,15378,145200,129822,No
KSIT,Aerospace Engineering,COMEDK,2024,231313,78134,14821,16168,340436,324268,No
HKBK,Electronics and Communication Engineering,KCET,2023,61209,73738,16018,21844,172809,150965,Yes
DrAIT,Mechanical Engineering,COMEDK,2023,200900,85658,8430,19932,314920,294988,No
RAIT,Electrical and Electronics Engineering,KCET,2024,74439,87700,11078,15893,189110,173217,No
PESCE,Electrical and Electronics Engineering,COMEDK,2024,207711,91853,11324,22792,333680,310888,Yes
EastPoint,Aerospace Engineering,KCET,2024,72943,60503,18246,12533,164225,151692,No
SJBIT,Electrical and Electronics Engineering,KCET,2024,81285,60175,16165,20592,178217,157625,No
AEC,Chemical Engineering,KCET,2023,71344,82951,11843,20306,186444,166138,No
NHCE,Artificial Intelligence and Data Science,COMEDK,2023,173535,72196,17892,19117,282740,263623,No
DSATM,Computer Science and Engineering,COMEDK,2023,232813,63773,15385,19460,331431,311971,No
KLEIT,Electrical and Electronics Engineering,KCET,2023,58943,82076,14849,25243,181111,155868,Yes
AIT,Electronics and Communication Engineering,COMEDK,2024,160950,79780,15206,28828,284764,255936,No
PRES,Robotics and Automation Engineering,KCET,2023,69499,92424,19374,16619,197916,181297,Yes
KLSGIT,Aerospace Engineering,KCET,2024,67182,92462,17695,18193,195532,177339,Yes
DBIT,Information Science and Engineering,COMEDK,2024,232850,65549,15851,22923,337173,314250,No
REVA,Electrical and Electronics Engineering,KCET,2023,58057,79699,9768,24768,172292,147524,Yes
HKBK,Electrical and Electronics Engineering,COMEDK,2024,167520,63262,8968,19604,259354,239750,Yes
PESCE,Civil Engineering,COMEDK,2024,191557,89247,12845,24086,317735,293649,No
SDMCET,Biotechnology,KCET,2024,82822,75753,13672,25779,198026,172247,No
NCET,Civil Engineering,KCET,2024,65694,86100,13888,27485,193167,165682,No
SCEM,Aerospace Engineering,KCET,2023,61607,73314,11469,22591,168981,146390,No
SCEM,Electrical and Electronics Engineering,COMEDK,2023,207395,74634,18250,18954,319233,300279,No
SDMCET,Robotics and Automation Engineering,KCET,2024,70131,84506,15377,18622,188636,170014,Yes
HKBK,Civil Engineering,KCET,2024,74557,61688,15227,26590,178062,151472,Yes
AECMandya,Electronics and Communication Engineering,COMEDK,2023,188606,73442,16405,18044,296497,278453,Yes
MSRIT,Electronics and Communication Engineering,KCET,2023,82214,65074,11290,29407,187985,158578,No
VIT,Information Science and Engineering,KCET,2023,70799,77153,19263,11013,178228,167215,Yes
BMSIT,Computer Science and Engineering,KCET,2024,69376,90363,12137,11544,183420,171876,Yes
NIE,Electronics and Communication Engineering,COMEDK,2024,246703,88391,18897,21580,375571,353991,No
NCET,Computer Science and Engineering,KCET,2024,76504,81006,8433,12290,178233,165943,No
YKCE,Civil Engineering,COMEDK,2024,218097,68474,15518,27208,329297,302089,Yes
NCET,Biotechnology,KCET,2024,80347,86224,10134,10116,186821,176705,Yes
NCET,Chemical Engineering,KCET,2024,57144,62310,17663,26240,163357,137117,No
PESU,Information Science and Engineering,KCET,2024,79133,66928,13303,11429,170793,159364,Yes
RVCE,Information Science and Engineering,KCET,2024,84098,78768,9260,21537,193663,172126,No
YKCE,Electrical and Electronics Engineering,COMEDK,2024,223835,85361,17966,13475,340637,327162,No
DSCE,Mechanical Engineering,KCET,2023,71120,94222,15502,23295,204139,180844,Yes
SDMIT,Robotics and Automation Engineering,KCET,2024,78373,76218,16946,11207,182744,171537,Yes
PRES,Electrical and Electronics Engineering,KCET,2024,57835,86333,14506,11251,169925,158674,No
JSSSTU,Electrical and Electronics Engineering,COMEDK,2024,186399,65460,10450,21544,283853,262309,Yes
SJBIT,Electronics and Communication Engineering,KCET,2024,50440,65549,9788,22075,147852,125777,Yes
UVCE,Artificial Intelligence and Data Science,KCET,2023,80817,94241,10389,29164,214611,185447,No
VSM,Aerospace Engineering,COMEDK,2024,186462,92052,16602,13374,308490,295116,No
BMSIT,Data Science,COMEDK,2024,230960,77662,15024,29671,353317,323646,Yes
AITM,Aerospace Engineering,KCET,2023,54123,85495,10966,23060,173644,150584,No
YKCE,Computer Science and Engineering,COMEDK,2024,199071,62610,10610,15144,287435,272291,No
BIT,Aerospace Engineering,COMEDK,2024,180553,87717,19559,23249,311078,287829,Yes
NMIT,Biotechnology,KCET,2023,70171,87865,14180,18115,190331,172216,Yes
SDMIT,Electronics and Communication Engineering,COMEDK,2023,200086,90721,19795,19881,330483,310602,Yes
YKCE,Civil Engineering,KCET,2023,55012,73659,13950,11629,154250,142621,No
GIT,Electrical and Electronics Engineering,COMEDK,2023,203695,72027,12616,20136,308474,288338,Yes
BMSIT,Electrical and Electronics Engineering,COMEDK,2024,204065,73196,18226,20945,316432,295487,No
DrAIT,Aerospace Engineering,KCET,2024,75844,64500,13449,26801,180594,153793,No
RNSIT,Mechanical Engineering,KCET,2024,59355,92408,19321,21084,192168,171084,Yes
VSM,Mechanical Engineering,KCET,2024,67033,61361,12262,19320,159976,140656,No
YKCE,Chemical Engineering,COMEDK,2023,239727,69061,19767,20696,349251,328555,Yes
BITM,Biotechnology,KCET,2023,74260,61052,10705,24226,170243,146017,Yes
RNSIT,Aerospace Engineering,COMEDK,2023,200462,82516,15943,29320,328241,298921,No
SIT,Aerospace Engineering,KCET,2023,65833,79765,16016,27751,189365,161614,Yes
SCEM,Biotechnology,COMEDK,2023,210425,73868,13501,21353,319147,297794,No
SDMCET,Electronics and Communication Engineering,KCET,2024,77743,85281,14729,24952,202705,177753,Yes
SITM,Electronics and Communication Engineering,KCET,2023,79126,92540,16508,19711,207885,188174,No
AITM,Civil Engineering,COMEDK,2024,208984,60520,17569,26691,313764,287073,No
AIT,Information Science and Engineering,KCET,2023,80725,61639,14772,16264,173400,157136,No
KLSGIT,Information Science and Engineering,COMEDK,2023,228426,69307,17232,12913,327878,314965,No
KLSGIT,Computer Science and Engineering,COMEDK,2023,249935,83729,16570,13515,363749,350234,No
DSATM,Computer Science and Engineering,COMEDK,2023,175447,65325,15122,23529,279423,255894,Yes
BIT,Mechanical Engineering,KCET,2023,74996,84847,19698,21242,200783,179541,Yes
AITM,Mechanical Engineering,COMEDK,2024,236967,76504,16614,16649,346734,330085,No
VemanaIT,Artificial Intelligence and Data Science,KCET,2024,55814,72438,11615,20269,160136,139867,Yes
BITM,Information Science and Engineering,KCET,2024,69769,71985,17302,13558,172614,159056,No
BMSIT,Biotechnology,KCET,2024,66285,71586,19626,13110,170607,157497,No
SJBIT,Data Science,COMEDK,2023,245363,71848,12168,24893,354272,329379,Yes
RVCE,Information Science and Engineering,KCET,2024,77562,77287,12536,11136,178521,167385,No
MSRIT,Computer Science and Engineering,KCET,2023,84788,78752,15128,18497,197165,178668,No
BMIT,Electronics and Communication Engineering,COMEDK,2023,239157,66135,8455,20862,334609,313747,No
NMIT,Aerospace Engineering,KCET,2023,72762,89076,11422,21115,194375,173260,Yes
SJBCE,Civil Engineering,KCET,2024,68399,87855,18890,21230,196374,175144,No
MSRIT,Civil Engineering,KCET,2024,62294,80252,11551,11383,165480,154097,No
VSM,Chemical Engineering,COMEDK,2023,177165,63731,15469,17283,273648,256365,Yes
VVIT,Mechanical Engineering,COMEDK,2024,177731,93708,11193,27325,309957,282632,No
VVCE,Electronics and Communication Engineering,COMEDK,2024,205140,64298,10123,28182,307743,279561,No
MSRUAS,Chemical Engineering,COMEDK,2024,208814,72179,13605,25579,320177,294598,Yes
SJBCE,Artificial Intelligence and Data Science,KCET,2023,64815,80636,11783,26955,184189,157234,No
MVJCE,Information Science and Engineering,COMEDK,2024,165282,67469,8283,19563,260597,241034,Yes
MSRUAS,Computer Science and Engineering,COMEDK,2024,203995,92350,17933,22374,336652,314278,Yes
JIT,Artificial Intelligence and Data Science,COMEDK,2024,174928,73567,19734,14863,283092,268229,No
BMSIT,Mechanical Engineering,KCET,2023,80622,65403,18666,27922,192613,164691,Yes
SITM,Data Science,KCET,2024,72393,88324,17587,17065,195369,178304,Yes
PRES,Electrical and Electronics Engineering,COMEDK,2023,235623,91274,11960,27604,366461,338857,Yes
SITM,Aerospace Engineering,COMEDK,2024,246338,67313,10819,21474,345944,324470,Yes
MSRUAS,Biotechnology,KCET,2024,61139,61538,16100,19552,158329,138777,Yes
DSCE,Computer Science and Engineering,KCET,2024,52023,79832,8765,22098,162718,140620,Yes
MSRUAS,Computer Science and Engineering,KCET,2023,67520,65808,13467,29463,176258,146795,Yes
RNSIT,Civil Engineering,COMEDK,2023,237906,76479,11373,20632,346390,325758,Yes
BMSCE,Chemical Engineering,COMEDK,2024,209253,75123,18562,10148,313086,302938,Yes
AITM,Data Science,COMEDK,2024,182990,89560,15447,10456,298453,287997,No
VVIT,Aerospace Engineering,KCET,2024,70211,62874,12113,13561,158759,145198,Yes
KLEIT,Robotics and Automation Engineering,KCET,2024,52393,79122,18170,21732,171417,149685,No
DSATM,Civil Engineering,KCET,2023,56453,66525,18851,14897,156726,141829,Yes
SCEM,Electronics and Communication Engineering,COMEDK,2024,238431,76270,15186,20680,350567,329887,No
BNMIT,Civil Engineering,KCET,2024,73529,78117,18968,20247,190861,170614,No
SJBCE,Information Science and Engineering,COMEDK,2023,240734,91102,17279,16417,365532,349115,Yes
SCEM,Electronics and Communication Engineering,COMEDK,2024,229951,66345,15133,13181,324610,311429,No
RIT,Civil Engineering,COMEDK,2024,223521,70165,10819,26920,331425,304505,No
RIT,Chemical Engineering,KCET,2024,83263,61314,13405,10636,168618,157982,Yes
RVCE,Robotics and Automation Engineering,COMEDK,2024,244843,85565,18325,15302,364035,348733,No
AEC,Robotics and Automation Engineering,KCET,2024,57598,67963,8791,18349,152701,134352,No
CITGubbi,Artificial Intelligence and Data Science,KCET,2024,77307,81696,14324,18529,191856,173327,No
AECMandya,Artificial Intelligence and Data Science,KCET,2024,69761,80368,16448,23516,190093,166577,No
AEC,Computer Science and Engineering,KCET,2024,50458,64978,15050,13060,143546,130486,Yes
UVCE,Artificial Intelligence and Data Science,KCET,2024,77778,66725,10709,23532,178744,155212,No
KSIT,Aerospace Engineering,COMEDK,2023,228231,62042,11506,14381,316160,301779,Yes
CMRIT,Aerospace Engineering,KCET,2023,51698,84633,17704,15662,169697,154035,No
SJBIT,Civil Engineering,KCET,2023,58352,90314,9404,12792,170862,158070,No
BIT,Biotechnology,KCET,2024,84255,80871,13078,23828,202032,178204,Yes
PESU,Information Science and Engineering,KCET,2023,53159,65473,18503,27281,164416,137135,Yes
AIT,Information Science and Engineering,COMEDK,2023,175072,82757,9028,17167,284024,266857,No
EastPoint,Information Science and Engineering,COMEDK,2024,231686,65679,8833,15967,322165,306198,Yes
BNMIT,Chemical Engineering,COMEDK,2023,169106,68578,11251,22446,271381,248935,No
JSSSTU,Civil Engineering,COMEDK,2023,227781,66368,8537,10251,312937,302686,No
KSIT,Computer Science and Engineering,KCET,2023,52864,82399,10033,26266,171562,145296,No
SIT,Biotechnology,KCET,2024,61133,73390,14590,18947,168060,149113,No
DBIT,Electrical and Electronics Engineering,KCET,2023,83703,77555,19894,13813,194965,181152,No
KSIT,Civil Engineering,KCET,2024,81031,74329,8202,26067,189629,163562,No
NCET,Electronics and Communication Engineering,KCET,2024,58949,60848,17405,11664,148866,137202,Yes
CMRIT,Information Science and Engineering,COMEDK,2024,184699,93460,16361,27345,321865,294520,No
DSATM,Aerospace Engineering,COMEDK,2024,246842,69967,19772,18376,354957,336581,No
RNSIT,Civil Engineering,KCET,2023,79946,94100,13044,11172,198262,187090,Yes
MSRUAS,Robotics and Automation Engineering,KCET,2024,66798,61368,17830,25326,171322,145996,No
SDMCET,Artificial Intelligence and Data Science,KCET,2023,56802,61486,8833,21344,148465,127121,No
RNSIT,Data Science,COMEDK,2023,173908,67365,19926,25647,286846,261199,Yes
CITGubbi,Robotics and Automation Engineering,COMEDK,2023,168254,63668,12981,27563,272466,244903,No
SIT,Robotics and Automation Engineering,KCET,2024,54292,76450,13882,25526,170150,144624,No
VVIT,Electronics and Communication Engineering,KCET,2023,68929,64791,12590,11340,157650,146310,No
HKBK,Data Science,KCET,2023,53348,85835,15934,11683,166800,155117,No
SDMCET,Electrical and Electronics Engineering,COMEDK,2023,168691,66855,8192,23796,267534,243738,Yes
HKBK,Civil Engineering,KCET,2024,68588,63509,9413,12354,153864,141510,No
VVIT,Aerospace Engineering,COMEDK,2024,205679,93769,19731,29620,348799,319179,Yes
BNMIT,Biotechnology,COMEDK,2024,172267,91855,8048,18694,290864,272170,No
NHCE,Robotics and Automation Engineering,COMEDK,2023,241007,61074,17030,21459,340570,319111,Yes
VIT,Information Science and Engineering,KCET,2023,78524,63041,9034,18597,169196,150599,Yes
JNNCE,Electrical and Electronics Engineering,KCET,2024,57278,84842,8912,21313,172345,151032,Yes
SDMCET,Chemical Engineering,COMEDK,2024,208880,71855,18693,13697,313125,299428,Yes
PESCE,Artificial Intelligence and Data Science,KCET,2023,54838,74129,9571,21255,159793,138538,Yes
NIE,Aerospace Engineering,KCET,2024,84579,82167,17011,29090,212847,183757,No
DSATM,Computer Science and Engineering,KCET,2024,65650,76896,18652,12437,173635,161198,No
AITM,Civil Engineering,KCET,2024,64786,83190,18402,18196,184574,166378,No
DSCE,Information Science and Engineering,COMEDK,2023,193435,63413,13145,24177,294170,269993,No
AEC,Artificial Intelligence and Data Science,COMEDK,2024,163186,66753,8244,21843,260026,238183,No
NHCE,Robotics and Automation Engineering,KCET,2024,71146,72355,13351,26514,183366,156852,No
EastPoint,Information Science and Engineering,COMEDK,2024,174338,70890,13647,16406,275281,258875,Yes
JSSSTU,Robotics and Automation Engineering,COMEDK,2023,218581,67027,9189,15776,310573,294797,No
AITM,Electronics and Communication Engineering,KCET,2024,84883,88772,10207,17475,201337,183862,No
JNNCE,Mechanical Engineering,KCET,2023,67884,77824,15611,12176,173495,161319,No
SJBIT,Artificial Intelligence and Data Science,COMEDK,2024,197388,83814,15455,21002,317659,296657,Yes
AEC,Electrical and Electronics Engineering,KCET,2023,79044,82699,9984,15212,186939,171727,Yes
SDMCET,Robotics and Automation Engineering,KCET,2023,59125,91712,10194,25835,186866,161031,No
DSATM,Data Science,COMEDK,2023,190860,90272,14425,12303,307860,295557,No
BMIT,Mechanical Engineering,COMEDK,2023,175310,93997,16951,21996,308254,286258,No
CITGubbi,Computer Science and Engineering,COMEDK,2024,196244,68938,18750,13746,297678,283932,Yes
VIT,Robotics and Automation Engineering,COMEDK,2024,185403,88884,12098,20380,306765,286385,No
BMSCE,Computer Science and Engineering,COMEDK,2024,209317,76567,11357,14237,311478,297241,Yes
CMRIT,Information Science and Engineering,KCET,2024,84305,92318,9685,24556,210864,186308,No
PRES,Civil Engineering,KCET,2024,62631,61234,14480,15544,153889,138345,Yes
AIT,Electrical and Electronics Engineering,COMEDK,2023,180837,69660,8496,18359,277352,258993,Yes
AEC,Artificial Intelligence and Data Science,COMEDK,2024,243430,74004,12317,13682,343433,329751,Yes
BIT,Electronics and Communication Engineering,KCET,2024,61966,63949,9429,21290,156634,135344,No
BMSIT,Electronics and Communication Engineering,COMEDK,2023,245159,84406,12967,14990,357522,342532,No
GIT,Mechanical Engineering,KCET,2023,61062,83896,12531,24356,181845,157489,No
PESCE,Civil Engineering,COMEDK,2023,207594,91270,8398,23202,330464,307262,Yes
RNSIT,Data Science,COMEDK,2024,173681,84903,12147,25774,296505,270731,Yes
PESU,Civil Engineering,KCET,2023,72505,65399,15948,25264,179116,153852,No
SCEM,Electronics and Communication Engineering,KCET,2023,63532,93643,8983,16361,182519,166158,No
PESU,Data Science,COMEDK,2023,221875,71297,16271,18690,328133,309443,Yes
NCET,Aerospace Engineering,KCET,2024,82290,65687,12044,29652,189673,160021,Yes
AITM,Mechanical Engineering,COMEDK,2023,248477,93351,14601,24164,380593,356429,No
PESCE,Chemical Engineering,KCET,2024,83457,77176,17305,14984,192922,177938,Yes
BMSIT,Civil Engineering,COMEDK,2023,179548,86210,14816,24156,304730,280574,Yes
SDMIT,Mechanical Engineering,KCET,2023,75997,90338,10044,11484,187863,176379,Yes
RVUNIV,Mechanical Engineering,KCET,2024,73326,70823,17420,24138,185707,161569,No
RIT,Civil Engineering,COMEDK,2024,166234,72008,14777,17493,270512,253019,No
BMSCE,Aerospace Engineering,KCET,2024,53134,69410,11139,21553,155236,133683,Yes
CITGubbi,Electronics and Communication Engineering,KCET,2024,83710,77870,17655,25576,204811,179235,Yes
SDMCET,Artificial Intelligence and Data Science,COMEDK,2023,228262,77298,12105,18000,335665,317665,No
AITM,Biotechnology,COMEDK,2024,213603,93084,18910,11199,336796,325597,Yes
NHCE,Mechanical Engineering,COMEDK,2023,207687,93330,8568,16310,325895,309585,Yes
AIT,Civil Engineering,KCET,2023,58581,75527,18049,15947,168104,152157,No
AECMandya,Artificial Intelligence and Data Science,COMEDK,2023,243785,79417,14911,15816,353929,338113,No
BMSIT,Information Science and Engineering,KCET,2023,62766,87410,10300,17093,177569,160476,Yes
KSIT,Artificial Intelligence and Data Science,COMEDK,2023,182203,86675,9928,26216,305022,278806,No
SIT,Electronics and Communication Engineering,KCET,2023,79652,62308,9734,29644,181338,151694,No
MVJCE,Chemical Engineering,COMEDK,2023,183937,81679,9833,25884,301333,275449,Yes
SJBIT,Mechanical Engineering,KCET,2023,70775,74078,18117,13531,176501,162970,Yes
REVA,Chemical Engineering,KCET,2024,60293,78919,8647,15855,163714,147859,Yes
HKBK,Computer Science and Engineering,KCET,2024,83510,86212,15674,13527,198923,185396,No
JSSSTU,Chemical Engineering,KCET,2023,68383,75717,8059,26838,178997,152159,No
AEC,Electronics and Communication Engineering,COMEDK,2023,171790,71994,11521,22554,277859,255305,No
