College,Branch,Category,Exam,Year,Total_Seats
DBIT,Electronics and Communication Engineering,SC,KCET,2023,35
DBIT,Information Science and Engineering,OBC,KCET,2023,53
GIT,Artificial Intelligence and Data Science,OBC,KCET,2024,31
UVCE,Information Science and Engineering,OBC,KCET,2023,44
DSATM,Computer Science and Engineering,GM,KCET,2024,19
PESU,Chemical Engineering,GM,KCET,2023,12
BMSCE,Biotechnology,ST,COMEDK,2023,45
MVJCE,Electronics and Communication Engineering,OBC,COMEDK,2023,44
SIT,Civil Engineering,SC,COMEDK,2023,25
PESCE,Robotics and Automation Engineering,Tulu,COMEDK,2024,54
VVCE,Aerospace Engineering,Christian,COMEDK,2023,36
NCET,Electronics and Communication Engineering,ST,COMEDK,2024,19
AITM,Aerospace Engineering,OBC,COMEDK,2023,47
AITM,Artificial Intelligence and Data Science,Christian,COMEDK,2023,32
CITGubbi,Biotechnology,Christian,KCET,2024,15
BMSIT,Data Science,ST,KCET,2024,58
REVA,Computer Science and Engineering,GM,COMEDK,2023,27
GIT,Aerospace Engineering,GM,COMEDK,2023,32
DBIT,Information Science and Engineering,Tulu,COMEDK,2024,56
DSATM,Chemical Engineering,Tulu,KCET,2024,40
BITM,Electronics and Communication Engineering,ST,COMEDK,2024,6
NMIT,Civil Engineering,OBC,KCET,2024,23
YKCE,Robotics and Automation Engineering,SC,KCET,2023,35
VSM,Aerospace Engineering,OBC,KCET,2024,31
VIT,Mechanical Engineering,GM,COMEDK,2023,25
VVCE,Artificial Intelligence and Data Science,Tulu,COMEDK,2023,43
HKBK,Aerospace Engineering,SC,COMEDK,2023,50
RNSIT,Artificial Intelligence and Data Science,SC,COMEDK,2023,7
JNNCE,Electrical and Electronics Engineering,SC,KCET,2024,59
JIT,Computer Science and Engineering,OBC,COMEDK,2023,9
REVA,Electronics and Communication Engineering,Tulu,COMEDK,2023,19
VSM,Chemical Engineering,OBC,KCET,2023,10
SJBIT,Aerospace Engineering,Tulu,KCET,2023,12
DSCE,Biotechnology,Christian,COMEDK,2024,45
KLEIT,Chemical Engineering,GM,KCET,2024,6
HKBK,Electrical and Electronics Engineering,SC,COMEDK,2023,45
ACU,Artificial Intelligence and Data Science,SC,KCET,2023,40
ACU,Electronics and Communication Engineering,ST,COMEDK,2023,60
PRES,Robotics and Automation Engineering,ST,KCET,2023,30
AIT,Electronics and Communication Engineering,OBC,KCET,2024,42
BIT,Data Science,OBC,KCET,2023,28
SDMCET,Information Science and Engineering,Tulu,COMEDK,2024,34
AECMandya,Electronics and Communication Engineering,Christian,COMEDK,2023,48
MSRUAS,Computer Science and Engineering,SC,COMEDK,2024,35
KLSGIT,Robotics and Automation Engineering,GM,KCET,2023,17
DrAIT,Robotics and Automation Engineering,OBC,COMEDK,2024,7
DSCE,Data Science,Tulu,COMEDK,2024,46
DSCE,Aerospace Engineering,SC,COMEDK,2024,10
NMIT,Data Science,GM,KCET,2023,40
NHCE,Electrical and Electronics Engineering,OBC,KCET,2024,57
ACU,Civil Engineering,Christian,COMEDK,2024,33
NCET,Chemical Engineering,ST,KCET,2023,28
BMSCE,Biotechnology,OBC,KCET,2023,41
HKBK,Aerospace Engineering,ST,COMEDK,2023,38
SITM,Electronics and Communication Engineering,GM,KCET,2024,51
JSSSTU,Artificial Intelligence and Data Science,SC,KCET,2023,57
BNMIT,Biotechnology,OBC,COMEDK,2024,44
VVCE,Electrical and Electronics Engineering,Tulu,KCET,2024,41
DrAIT,Computer Science and Engineering,Christian,KCET,2024,8
SDMCET,Electronics and Communication Engineering,ST,COMEDK,2023,36
BITM,Civil Engineering,Christian,KCET,2023,51
DSATM,Electrical and Electronics Engineering,SC,KCET,2024,59
ACU,Electrical and Electronics Engineering,SC,KCET,2024,45
UVCE,Computer Science and Engineering,ST,KCET,2023,15
KLEIT,Civil Engineering,ST,KCET,2024,15
BMSCE,Information Science and Engineering,OBC,COMEDK,2024,9
MSRUAS,Electrical and Electronics Engineering,GM,KCET,2024,11
AEC,Chemical Engineering,OBC,KCET,2024,54
VVCE,Artificial Intelligence and Data Science,GM,KCET,2024,53
BIT,Data Science,GM,COMEDK,2023,40
VSM,Information Science and Engineering,Tulu,KCET,2023,9
HKBK,Chemical Engineering,GM,KCET,2023,27
BITM,Robotics and Automation Engineering,Tulu,KCET,2023,35
DBIT,Electronics and Communication Engineering,SC,COMEDK,2023,32
SDMIT,Civil Engineering,Tulu,KCET,2023,31
AEC,Robotics and Automation Engineering,ST,COMEDK,2024,56
BITM,Biotechnology,ST,KCET,2024,44
VSM,Computer Science and Engineering,OBC,COMEDK,2024,55
KLEIT,Mechanical Engineering,Tulu,KCET,2024,54
SDMCET,Electronics and Communication Engineering,Tulu,COMEDK,2024,29
AEC,Computer Science and Engineering,OBC,COMEDK,2024,56
SDMCET,Civil Engineering,Christian,COMEDK,2023,55
RVUNIV,Aerospace Engineering,ST,KCET,2023,23
CITGubbi,Computer Science and Engineering,Christian,COMEDK,2024,18
SITM,Data Science,OBC,COMEDK,2023,15
CITGubbi,Robotics and Automation Engineering,OBC,COMEDK,2024,30
SJBIT,Mechanical Engineering,ST,COMEDK,2023,20
AITM,Chemical Engineering,Tulu,COMEDK,2024,22
MVJCE,Data Science,ST,KCET,2024,49
SJBIT,Electrical and Electronics Engineering,SC,KCET,2024,46
DSCE,Biotechnology,Christian,KCET,2023,58
VVCE,Robotics and Automation Engineering,GM,KCET,2023,22
AIT,Aerospace Engineering,ST,KCET,2024,36
RVUNIV,Mechanical Engineering,SC,KCET,2023,48
UVCE,Aerospace Engineering,GM,KCET,2024,6
VSM,Civil Engineering,Christian,KCET,2024,24
BNMIT,Information Science and Engineering,SC,COMEDK,2024,22
MSRUAS,Civil Engineering,SC,KCET,2023,8
UVCE,Computer Science and Engineering,Tulu,KCET,2023,17
SJBCE,Mechanical Engineering,Christian,KCET,2023,39
BMSCE,Electrical and Electronics Engineering,GM,KCET,2024,40
CITGubbi,Information Science and Engineering,OBC,KCET,2023,53
VSM,Aerospace Engineering,GM,KCET,2024,42
GMIT,Electrical and Electronics Engineering,Tulu,COMEDK,2024,25
KLSGIT,Mechanical Engineering,ST,COMEDK,2023,15
JSSSTU,Chemical Engineering,GM,KCET,2024,31
DrAIT,Mechanical Engineering,Christian,COMEDK,2024,45
AECMandya,Biotechnology,Christian,COMEDK,2024,59
BMSCE,Robotics and Automation Engineering,GM,KCET,2024,47
SCEM,Robotics and Automation Engineering,OBC,COMEDK,2023,59
NHCE,Computer Science and Engineering,OBC,KCET,2023,60
DrAIT,Computer Science and Engineering,ST,KCET,2023,50
VIT,Mechanical Engineering,GM,KCET,2024,14
GIT,Artificial Intelligence and Data Science,OBC,COMEDK,2023,26
JIT,Biotechnology,ST,COMEDK,2023,15
VSM,Aerospace Engineering,Christian,COMEDK,2023,15
BMSCE,Aerospace Engineering,ST,KCET,2023,47
BNMIT,Data Science,SC,COMEDK,2024,42
PRES,Information Science and Engineering,SC,COMEDK,2024,60
SITM,Data Science,Tulu,KCET,2024,22
AITM,Artificial Intelligence and Data Science,OBC,COMEDK,2023,42
CITGubbi,Data Science,Christian,KCET,2023,33
SITM,Robotics and Automation Engineering,GM,KCET,2024,22
VemanaIT,Electronics and Communication Engineering,OBC,KCET,2023,43
DrAIT,Data Science,Tulu,COMEDK,2023,51
MSRIT,Biotechnology,SC,COMEDK,2023,52
SJBCE,Information Science and Engineering,SC,KCET,2024,33
BIT,Chemical Engineering,SC,COMEDK,2024,52
AECMandya,Artificial Intelligence and Data Science,GM,KCET,2023,16
MVJCE,Robotics and Automation Engineering,Christian,COMEDK,2023,29
RVUNIV,Information Science and Engineering,GM,KCET,2024,37
JSSSTU,Information Science and Engineering,ST,COMEDK,2023,60
DrAIT,Biotechnology,OBC,COMEDK,2023,8
PESCE,Information Science and Engineering,SC,COMEDK,2023,54
YKCE,Civil Engineering,GM,COMEDK,2023,22
YKCE,Civil Engineering,GM,KCET,2024,32
CMRIT,Civil Engineering,Christian,KCET,2024,34
RVCE,Robotics and Automation Engineering,Christian,KCET,2024,7
BNMIT,Robotics and Automation Engineering,Christian,COMEDK,2024,18
DSATM,Mechanical Engineering,Tulu,COMEDK,2024,15
VVCE,Information Science and Engineering,SC,KCET,2024,31
RVCE,Mechanical Engineering,OBC,KCET,2023,29
BMIT,Aerospace Engineering,Christian,KCET,2024,31
SITM,Electrical and Electronics Engineering,ST,COMEDK,2024,16
AITM,Artificial Intelligence and Data Science,SC,KCET,2024,56
AEC,Computer Science and Engineering,OBC,COMEDK,2023,24
PESCE,Biotechnology,SC,COMEDK,2023,37
REVA,Artificial Intelligence and Data Science,ST,COMEDK,2023,26
NCET,Civil Engineering,SC,KCET,2024,15
AIT,Computer Science and Engineering,ST,COMEDK,2024,29
REVA,Chemical Engineering,SC,KCET,2023,13
BMIT,Electrical and Electronics Engineering,SC,COMEDK,2024,52
MSRIT,Information Science and Engineering,GM,KCET,2024,30
KSIT,Civil Engineering,GM,COMEDK,2024,11
DrAIT,Information Science and Engineering,SC,COMEDK,2023,34
RVUNIV,Civil Engineering,ST,COMEDK,2023,28
UVCE,Civil Engineering,Christian,COMEDK,2023,31
PRES,Aerospace Engineering,Christian,COMEDK,2023,30
VSM,Aerospace Engineering,Christian,KCET,2023,15
MVJCE,Civil Engineering,OBC,COMEDK,2024,20
AECMandya,Biotechnology,GM,COMEDK,2023,43
DSCE,Biotechnology,ST,KCET,2023,56
EastPoint,Artificial Intelligence and Data Science,SC,KCET,2023,38
UVCE,Mechanical Engineering,Christian,KCET,2024,12
MSRUAS,Mechanical Engineering,Tulu,KCET,2024,10
VemanaIT,Data Science,ST,KCET,2023,50
UVCE,Information Science and Engineering,Christian,COMEDK,2024,53
SDMCET,Aerospace Engineering,GM,KCET,2024,12
AIT,Artificial Intelligence and Data Science,GM,KCET,2024,24
JNNCE,Computer Science and Engineering,Christian,KCET,2024,54
RAIT,Data Science,GM,COMEDK,2024,43
CITGubbi,Aerospace Engineering,ST,KCET,2024,6
KLEIT,Mechanical Engineering,GM,COMEDK,2024,36
DSATM,Information Science and Engineering,SC,COMEDK,2024,11
HKBK,Aerospace Engineering,Tulu,COMEDK,2024,16
JIT,Aerospace Engineering,Christian,COMEDK,2023,38
NCET,Chemical Engineering,ST,COMEDK,2023,28
PRES,Computer Science and Engineering,Tulu,COMEDK,2024,39
DrAIT,Civil Engineering,GM,KCET,2023,12
MSRIT,Information Science and Engineering,Tulu,COMEDK,2023,34
NMIT,Electronics and Communication Engineering,OBC,COMEDK,2024,13
SDMIT,Computer Science and Engineering,Tulu,COMEDK,2023,25
NCET,Electronics and Communication Engineering,ST,KCET,2023,7
SDMIT,Aerospace Engineering,Tulu,COMEDK,2024,32
NIE,Robotics and Automation Engineering,ST,KCET,2023,8
UVCE,Artificial Intelligence and Data Science,Tulu,KCET,2023,34
SCEM,Electronics and Communication Engineering,Christian,KCET,2024,45
VSM,Electronics and Communication Engineering,OBC,COMEDK,2023,59
UVCE,Biotechnology,OBC,COMEDK,2024,46
BIT,Information Science and Engineering,GM,KCET,2023,51
CITGubbi,Electronics and Communication Engineering,Christian,COMEDK,2023,59
KLEIT,Information Science and Engineering,GM,KCET,2023,54
KLEIT,Electronics and Communication Engineering,Tulu,COMEDK,2024,60
SJBIT,Chemical Engineering,ST,KCET,2024,53
GIT,Biotechnology,Christian,KCET,2024,46
KSIT,Computer Science and Engineering,Tulu,KCET,2023,53
BMSCE,Aerospace Engineering,Tulu,COMEDK,2023,35
RVUNIV,Artificial Intelligence and Data Science,OBC,COMEDK,2024,7
SITM,Computer Science and Engineering,Christian,KCET,2023,23
JNNCE,Electronics and Communication Engineering,ST,COMEDK,2024,59
VVIT,Computer Science and Engineering,Christian,KCET,2024,11
MSRUAS,Aerospace Engineering,SC,COMEDK,2024,40
HKBK,Electronics and Communication Engineering,Christian,KCET,2023,51
MSRIT,Mechanical Engineering,GM,COMEDK,2024,23
GIT,Computer Science and Engineering,Christian,KCET,2023,59
MVJCE,Aerospace Engineering,GM,KCET,2024,43
BMSIT,Electronics and Communication Engineering,GM,COMEDK,2024,26
VemanaIT,Biotechnology,Christian,COMEDK,2024,7
NMIT,Aerospace Engineering,ST,COMEDK,2024,6
VSM,Mechanical Engineering,GM,COMEDK,2023,44
DSATM,Aerospace Engineering,ST,COMEDK,2023,21
MSRUAS,Data Science,SC,KCET,2023,27
CMRIT,Aerospace Engineering,Tulu,KCET,2024,26
SITM,Artificial Intelligence and Data Science,SC,COMEDK,2023,16
RVCE,Biotechnology,OBC,COMEDK,2024,45
VSM,Civil Engineering,Christian,KCET,2023,9
KLEIT,Data Science,GM,KCET,2023,13
NHCE,Artificial Intelligence and Data Science,SC,KCET,2024,36
BITM,Robotics and Automation Engineering,Tulu,COMEDK,2024,32
VIT,Artificial Intelligence and Data Science,Tulu,KCET,2023,55
NMIT,Information Science and Engineering,Tulu,COMEDK,2024,44
SITM,Civil Engineering,OBC,KCET,2023,8
BITM,Data Science,SC,KCET,2023,30
SDMCET,Civil Engineering,GM,COMEDK,2023,9
CMRIT,Data Science,OBC,COMEDK,2023,55
KSIT,Mechanical Engineering,ST,COMEDK,2024,46
KLEIT,Data Science,Tulu,KCET,2024,17
JSSSTU,Biotechnology,GM,KCET,2024,34
BMSCE,Computer Science and Engineering,SC,KCET,2023,52
DSCE,Aerospace Engineering,Christian,COMEDK,2023,36
VVIT,Robotics and Automation Engineering,Christian,COMEDK,2023,31
VSM,Civil Engineering,ST,KCET,2023,40
SITM,Robotics and Automation Engineering,ST,KCET,2024,16
MVJCE,Civil Engineering,Tulu,KCET,2024,29
VIT,Electronics and Communication Engineering,Tulu,COMEDK,2024,25
JIT,Robotics and Automation Engineering,Christian,COMEDK,2023,44
HKBK,Robotics and Automation Engineering,GM,KCET,2023,22
PESU,Biotechnology,GM,COMEDK,2023,16
UVCE,Artificial Intelligence and Data Science,Tulu,COMEDK,2024,8
BNMIT,Biotechnology,SC,COMEDK,2023,40
BITM,Artificial Intelligence and Data Science,Tulu,COMEDK,2023,52
GIT,Robotics and Automation Engineering,Christian,COMEDK,2023,26
BNMIT,Information Science and Engineering,SC,KCET,2024,39
PESU,Civil Engineering,Christian,COMEDK,2023,58
EastPoint,Artificial Intelligence and Data Science,OBC,COMEDK,2024,59
VVIT,Mechanical Engineering,Christian,COMEDK,2024,49
KLEIT,Information Science and Engineering,Christian,COMEDK,2024,9
UVCE,Electronics and Communication Engineering,Tulu,COMEDK,2024,29
VemanaIT,Aerospace Engineering,OBC,COMEDK,2024,8
UVCE,Mechanical Engineering,Christian,COMEDK,2024,55
KSIT,Information Science and Engineering,Christian,COMEDK,2023,45
PRES,Mechanical Engineering,SC,KCET,2024,57
NCET,Civil Engineering,OBC,KCET,2024,8
RNSIT,Chemical Engineering,GM,COMEDK,2024,56
PRES,Civil Engineering,Tulu,COMEDK,2024,34
SJBCE,Aerospace Engineering,Christian,KCET,2024,27
PESCE,Artificial Intelligence and Data Science,OBC,COMEDK,2024,29
SDMIT,Computer Science and Engineering,ST,KCET,2024,44
BNMIT,Mechanical Engineering,ST,KCET,2024,9
SITM,Robotics and Automation Engineering,SC,COMEDK,2023,58
HKBK,Artificial Intelligence and Data Science,Christian,KCET,2023,46
DrAIT,Mechanical Engineering,GM,KCET,2023,36
VVCE,Chemical Engineering,Tulu,COMEDK,2023,53
VVCE,Mechanical Engineering,GM,KCET,2023,12
PESU,Electrical and Electronics Engineering,SC,COMEDK,2024,12
SJBCE,Aerospace Engineering,Christian,COMEDK,2024,56
DrAIT,Computer Science and Engineering,Tulu,COMEDK,2024,48
KLEIT,Robotics and Automation Engineering,Tulu,COMEDK,2024,50
BITM,Data Science,Christian,COMEDK,2024,38
RNSIT,Chemical Engineering,GM,COMEDK,2023,38
AECMandya,Robotics and Automation Engineering,OBC,KCET,2023,31
VemanaIT,Artificial Intelligence and Data Science,GM,KCET,2023,54
DSCE,Electrical and Electronics Engineering,SC,COMEDK,2024,7
BITM,Civil Engineering,OBC,COMEDK,2023,38
JSSSTU,Electrical and Electronics Engineering,Tulu,COMEDK,2023,31
AECMandya,Chemical Engineering,Christian,COMEDK,2023,15
NMIT,Civil Engineering,Christian,KCET,2024,14
VSM,Chemical Engineering,SC,KCET,2024,50
BITM,Electronics and Communication Engineering,GM,KCET,2024,20
VVCE,Electrical and Electronics Engineering,GM,KCET,2024,6
ACU,Chemical Engineering,Christian,KCET,2023,49
CMRIT,Robotics and Automation Engineering,GM,COMEDK,2024,14
RVUNIV,Computer Science and Engineering,SC,COMEDK,2023,25
BIT,Mechanical Engineering,Tulu,KCET,2023,43
UVCE,Civil Engineering,OBC,KCET,2023,19
NHCE,Robotics and Automation Engineering,GM,KCET,2024,28
VIT,Biotechnology,SC,KCET,2023,22
REVA,Electrical and Electronics Engineering,Tulu,COMEDK,2023,12
NIE,Artificial Intelligence and Data Science,SC,KCET,2023,38
PESCE,Computer Science and Engineering,SC,KCET,2023,30
EastPoint,Robotics and Automation Engineering,SC,COMEDK,2023,43
REVA,Artificial Intelligence and Data Science,Christian,KCET,2024,33
SDMCET,Robotics and Automation Engineering,Christian,COMEDK,2024,18
RIT,Civil Engineering,Christian,KCET,2023,16
REVA,Mechanical Engineering,OBC,KCET,2024,14
MSRIT,Chemical Engineering,OBC,COMEDK,2024,30
NCET,Computer Science and Engineering,Tulu,COMEDK,2023,39
MSRIT,Aerospace Engineering,Christian,COMEDK,2023,24
AIT,Information Science and Engineering,Christian,KCET,2023,20
AIT,Chemical Engineering,OBC,COMEDK,2024,16
BMSIT,Chemical Engineering,ST,KCET,2024,19
DSATM,Information Science and Engineering,GM,KCET,2024,58
EastPoint,Artificial Intelligence and Data Science,SC,COMEDK,2024,18
MSRIT,Information Science and Engineering,OBC,KCET,2023,37
SJBIT,Information Science and Engineering,GM,KCET,2024,27
MVJCE,Computer Science and Engineering,OBC,COMEDK,2024,35
SJBCE,Robotics and Automation Engineering,Tulu,KCET,2024,33
BIT,Aerospace Engineering,ST,COMEDK,2023,57
PRES,Aerospace Engineering,Tulu,KCET,2023,45
SIT,Robotics and Automation Engineering,ST,COMEDK,2024,52
BMSIT,Robotics and Automation Engineering,ST,COMEDK,2024,50
PESCE,Artificial Intelligence and Data Science,SC,KCET,2023,34
BMSIT,Civil Engineering,ST,KCET,2024,22
BITM,Aerospace Engineering,OBC,COMEDK,2024,44
NMIT,Computer Science and Engineering,OBC,KCET,2024,27
GMIT,Computer Science and Engineering,OBC,KCET,2023,14
GIT,Robotics and Automation Engineering,SC,KCET,2024,26
DBIT,Data Science,ST,KCET,2023,29
BMSCE,Robotics and Automation Engineering,Christian,KCET,2023,13
VemanaIT,Computer Science and Engineering,GM,KCET,2023,12
JIT,Electrical and Electronics Engineering,Christian,KCET,2024,6
DBIT,Electrical and Electronics Engineering,Christian,KCET,2023,47
RVCE,Civil Engineering,GM,COMEDK,2023,23
BMSIT,Information Science and Engineering,Christian,COMEDK,2023,25
NCET,Robotics and Automation Engineering,OBC,KCET,2023,31
KLEIT,Chemical Engineering,Christian,COMEDK,2023,47
DBIT,Aerospace Engineering,Tulu,KCET,2024,27
ACU,Chemical Engineering,Christian,COMEDK,2023,35
DSATM,Electronics and Communication Engineering,ST,KCET,2023,42
RNSIT,Robotics and Automation Engineering,SC,COMEDK,2024,25
ACU,Aerospace Engineering,GM,COMEDK,2024,24
JSSSTU,Biotechnology,OBC,COMEDK,2024,60
NHCE,Mechanical Engineering,ST,COMEDK,2023,41
RVCE,Electronics and Communication Engineering,GM,KCET,2023,49
BMSCE,Data Science,Christian,KCET,2024,34
NIE,Computer Science and Engineering,Tulu,KCET,2024,14
AECMandya,Computer Science and Engineering,OBC,COMEDK,2023,22
RVCE,Robotics and Automation Engineering,ST,KCET,2024,48
VemanaIT,Computer Science and Engineering,OBC,KCET,2024,33
RAIT,Mechanical Engineering,GM,KCET,2024,22
BMIT,Information Science and Engineering,OBC,COMEDK,2024,18
JSSSTU,Civil Engineering,OBC,COMEDK,2024,57
BNMIT,Chemical Engineering,SC,KCET,2024,37
DSCE,Data Science,Tulu,COMEDK,2023,31
SDMIT,Data Science,Christian,COMEDK,2024,10
AIT,Artificial Intelligence and Data Science,Christian,KCET,2024,35
SJBIT,Computer Science and Engineering,SC,COMEDK,2023,22
JSSSTU,Electronics and Communication Engineering,Tulu,KCET,2023,10
BMIT,Computer Science and Engineering,ST,COMEDK,2024,52
ACU,Robotics and Automation Engineering,GM,KCET,2024,46
SDMIT,Data Science,GM,COMEDK,2024,51
GMIT,Mechanical Engineering,OBC,KCET,2023,20
BNMIT,Civil Engineering,SC,KCET,2024,6
VIT,Aerospace Engineering,SC,COMEDK,2024,44
KLSGIT,Computer Science and Engineering,SC,KCET,2023,43
VVCE,Aerospace Engineering,ST,COMEDK,2023,19
ACU,Aerospace Engineering,SC,COMEDK,2023,38
PESCE,Civil Engineering,Tulu,COMEDK,2023,34
JIT,Robotics and Automation Engineering,GM,KCET,2023,16
AECMandya,Information Science and Engineering,OBC,KCET,2024,33
HKBK,Mechanical Engineering,GM,COMEDK,2023,32
ACU,Electronics and Communication Engineering,Tulu,COMEDK,2023,42
RAIT,Electrical and Electronics Engineering,Tulu,COMEDK,2024,6
GMIT,Biotechnology,ST,COMEDK,2023,15
CITGubbi,Mechanical Engineering,ST,KCET,2024,18
DSCE,Artificial Intelligence and Data Science,SC,KCET,2024,37
NCET,Robotics and Automation Engineering,Tulu,COMEDK,2024,40
AIT,Aerospace Engineering,ST,COMEDK,2024,7
BIT,Data Science,SC,KCET,2023,45
VIT,Biotechnology,OBC,COMEDK,2024,44
BMSCE,Electronics and Communication Engineering,ST,COMEDK,2023,43
BMIT,Robotics and Automation Engineering,Tulu,KCET,2023,33
RVCE,Robotics and Automation Engineering,OBC,COMEDK,2024,11
DSATM,Chemical Engineering,OBC,COMEDK,2023,46
EastPoint,Civil Engineering,Christian,COMEDK,2024,58
VIT,Robotics and Automation Engineering,OBC,KCET,2023,14
JIT,Aerospace Engineering,GM,KCET,2023,57
MVJCE,Data Science,OBC,KCET,2023,28
KSIT,Robotics and Automation Engineering,Christian,COMEDK,2024,41
BMSCE,Chemical Engineering,ST,KCET,2023,13
SDMIT,Artificial Intelligence and Data Science,GM,COMEDK,2023,13
YKCE,Aerospace Engineering,OBC,COMEDK,2024,48
VVIT,Chemical Engineering,SC,COMEDK,2024,31
NIE,Robotics and Automation Engineering,GM,KCET,2024,54
NMIT,Biotechnology,Christian,KCET,2024,12
GIT,Biotechnology,ST,COMEDK,2024,53
SIT,Mechanical Engineering,Tulu,COMEDK,2024,42
KLSGIT,Civil Engineering,GM,COMEDK,2023,28
SDMIT,Artificial Intelligence and Data Science,Christian,COMEDK,2024,42
BMIT,Information Science and Engineering,Tulu,KCET,2023,26
NHCE,Electrical and Electronics Engineering,OBC,COMEDK,2024,31
KSIT,Aerospace Engineering,ST,KCET,2023,52
KLSGIT,Computer Science and Engineering,GM,COMEDK,2023,60
BITM,Data Science,ST,COMEDK,2023,57
AIT,Information Science and Engineering,ST,KCET,2024,9
MSRIT,Aerospace Engineering,OBC,KCET,2024,18
AITM,Robotics and Automation Engineering,ST,KCET,2023,53
RNSIT,Data Science,Christian,COMEDK,2023,51
RNSIT,Data Science,Tulu,KCET,2024,48
YKCE,Data Science,Tulu,KCET,2024,44
EastPoint,Computer Science and Engineering,ST,COMEDK,2023,7
AIT,Artificial Intelligence and Data Science,ST,KCET,2024,57
SCEM,Information Science and Engineering,Tulu,KCET,2024,36
SIT,Aerospace Engineering,GM,KCET,2024,32
SJBIT,Data Science,ST,COMEDK,2023,17
GMIT,Mechanical Engineering,ST,COMEDK,2023,30
HKBK,Data Science,OBC,KCET,2024,8
RNSIT,Biotechnology,SC,KCET,2023,54
BMIT,Chemical Engineering,Christian,KCET,2024,33
AEC,Artificial Intelligence and Data Science,Tulu,KCET,2024,56
AIT,Chemical Engineering,Tulu,KCET,2023,12
VSM,Computer Science and Engineering,SC,COMEDK,2024,12
BNMIT,Electronics and Communication Engineering,ST,COMEDK,2024,46
SIT,Mechanical Engineering,GM,KCET,2024,41
PESU,Information Science and Engineering,ST,KCET,2024,18
REVA,Robotics and Automation Engineering,Christian,KCET,2024,27
PESCE,Information Science and Engineering,GM,COMEDK,2023,54
NMIT,Aerospace Engineering,OBC,COMEDK,2023,26
GIT,Chemical Engineering,Christian,KCET,2023,46
PRES,Data Science,ST,KCET,2023,17
KSIT,Aerospace Engineering,GM,KCET,2024,27
EastPoint,Civil Engineering,Christian,COMEDK,2023,42
YKCE,Electronics and Communication Engineering,SC,KCET,2024,6
KSIT,Robotics and Automation Engineering,ST,KCET,2023,49
CITGubbi,Biotechnology,GM,COMEDK,2023,17
NMIT,Civil Engineering,Tulu,KCET,2023,15
YKCE,Robotics and Automation Engineering,ST,KCET,2023,18
JNNCE,Biotechnology,ST,KCET,2024,41
CITGubbi,Electrical and Electronics Engineering,Christian,KCET,2024,21
MSRUAS,Information Science and Engineering,ST,COMEDK,2023,17
GMIT,Mechanical Engineering,OBC,COMEDK,2024,52
RAIT,Artificial Intelligence and Data Science,Christian,COMEDK,2023,25
AIT,Aerospace Engineering,Tulu,COMEDK,2023,19
PESCE,Electronics and Communication Engineering,GM,COMEDK,2024,16
NMIT,Data Science,SC,KCET,2024,41
KLEIT,Artificial Intelligence and Data Science,OBC,KCET,2023,19
JSSSTU,Computer Science and Engineering,OBC,COMEDK,2023,24
BITM,Biotechnology,GM,COMEDK,2023,23
AEC,Electronics and Communication Engineering,Tulu,COMEDK,2024,42
PRES,Data Science,GM,COMEDK,2023,37
RVCE,Biotechnology,OBC,KCET,2023,8
MSRIT,Electronics and Communication Engineering,ST,COMEDK,2024,45
NCET,Information Science and Engineering,ST,COMEDK,2024,27
BMIT,Aerospace Engineering,Tulu,KCET,2023,21
DrAIT,Electrical and Electronics Engineering,GM,KCET,2024,52
NCET,Electrical and Electronics Engineering,Tulu,KCET,2024,18
MSRUAS,Biotechnology,GM,KCET,2024,32
SITM,Electronics and Communication Engineering,GM,COMEDK,2023,17
SJBIT,Robotics and Automation Engineering,Tulu,COMEDK,2024,47
YKCE,Information Science and Engineering,OBC,KCET,2023,51
DrAIT,Robotics and Automation Engineering,Christian,COMEDK,2024,50
MVJCE,Biotechnology,ST,COMEDK,2023,59
GMIT,Chemical Engineering,Christian,COMEDK,2023,8
RNSIT,Data Science,GM,KCET,2024,8
JNNCE,Computer Science and Engineering,Tulu,KCET,2024,28
KLSGIT,Information Science and Engineering,ST,KCET,2023,28
KLEIT,Computer Science and Engineering,SC,KCET,2023,8
BIT,Artificial Intelligence and Data Science,GM,KCET,2023,31
BMSCE,Electronics and Communication Engineering,Tulu,COMEDK,2023,51
PESCE,Biotechnology,SC,KCET,2023,25
BMIT,Aerospace Engineering,GM,COMEDK,2024,9
PESU,Computer Science and Engineering,ST,KCET,2023,58
DBIT,Mechanical Engineering,ST,KCET,2024,25
NIE,Robotics and Automation Engineering,SC,COMEDK,2024,16
VemanaIT,Aerospace Engineering,SC,KCET,2023,48
JSSSTU,Aerospace Engineering,OBC,COMEDK,2024,40
SDMIT,Electronics and Communication Engineering,OBC,COMEDK,2024,51
JNNCE,Biotechnology,OBC,KCET,2024,14
BMSIT,Information Science and Engineering,SC,COMEDK,2023,41
SDMIT,Biotechnology,OBC,KCET,2023,25
SJBCE,Mechanical Engineering,SC,COMEDK,2023,39
NHCE,Civil Engineering,SC,COMEDK,2024,10
GMIT,Robotics and Automation Engineering,Christian,KCET,2024,58
BMSCE,Information Science and Engineering,ST,KCET,2023,54
GIT,Mechanical Engineering,Tulu,COMEDK,2023,48
MSRUAS,Chemical Engineering,SC,COMEDK,2024,27
PRES,Biotechnology,SC,KCET,2023,44
VVCE,Mechanical Engineering,Christian,COMEDK,2024,47
